context_recall,faithfulness,factual_correctness,answer_relevancy,experiment_name
1.0,0.6923076923076923,0.92,0.8996630899739343,naive_chunker_cosine
1.0,1.0,0.4,0.9269279902609285,naive_chunker_cosine
1.0,1.0,0.84,0.846356969692679,naive_chunker_cosine
1.0,0.896551724137931,0.71,0.9608538218704741,naive_chunker_cosine
1.0,1.0,0.55,0.9699087792825951,naive_chunker_cosine
1.0,0.9393939393939394,0.74,0.9896830430312423,naive_chunker_cosine
1.0,0.8888888888888888,1.0,0.9797170607738526,naive_chunker_cosine
,1.0,0.71,0.9675234521449069,naive_chunker_cosine
1.0,,0.76,0.0,naive_chunker_cosine
1.0,0.9545454545454546,0.67,0.9683575112565918,naive_chunker_cosine
1.0,1.0,0.8,0.9518249923795539,naive_chunker_cosine
1.0,1.0,0.85,0.978590626707692,naive_chunker_cosine
1.0,1.0,0.86,0.9782478017328259,naive_chunker_cosine
1.0,0.9642857142857143,0.45,0.8896547912833296,naive_chunker_cosine
0.25,,,,naive_chunker_cosine
,0.8214285714285714,0.82,,naive_chunker_cosine
,0.6190476190476191,0.65,0.9123932835137613,naive_chunker_cosine
0.8,0.7692307692307693,0.75,0.8924964027806411,naive_chunker_cosine
1.0,1.0,0.87,,naive_chunker_cosine
1.0,0.9375,0.75,0.9375953753463991,naive_chunker_cosine
1.0,,0.79,0.9734330036447542,naive_chunker_cosine
1.0,1.0,0.91,0.977480034249209,naive_chunker_cosine
1.0,0.8461538461538461,0.74,0.9653195886937244,naive_chunker_multi_query
1.0,1.0,0.44,0.8254858384855676,naive_chunker_multi_query
1.0,0.9230769230769231,0.83,0.8492829337683255,naive_chunker_multi_query
1.0,1.0,1.0,0.9381157009097779,naive_chunker_multi_query
1.0,0.7142857142857143,0.86,0.8676779740737661,naive_chunker_multi_query
1.0,0.9696969696969697,0.72,0.9896908981079807,naive_chunker_multi_query
1.0,1.0,0.92,0.9797170607738526,naive_chunker_multi_query
1.0,1.0,0.71,0.9626593501446458,naive_chunker_multi_query
1.0,0.9,0.86,0.0,naive_chunker_multi_query
1.0,1.0,0.61,0.9715888333723425,naive_chunker_multi_query
1.0,1.0,0.8,0.9525041603351946,naive_chunker_multi_query
1.0,1.0,0.7,0.9906103135169758,naive_chunker_multi_query
1.0,0.9375,0.77,,naive_chunker_multi_query
0.8,0.9629629629629629,0.64,0.0,naive_chunker_multi_query
1.0,0.0,0.0,0.0,naive_chunker_multi_query
1.0,0.9722222222222222,0.89,0.9342698466233063,naive_chunker_multi_query
1.0,0.5263157894736842,0.78,0.878107142319004,naive_chunker_multi_query
1.0,0.7368421052631579,0.87,0.9043074411994073,naive_chunker_multi_query
1.0,1.0,0.81,0.9559381558780905,naive_chunker_multi_query
1.0,,0.92,0.9376141504802219,naive_chunker_multi_query
1.0,1.0,,0.9734250377957016,naive_chunker_multi_query
1.0,1.0,0.93,0.9771347093644178,naive_chunker_multi_query
0.3333333333333333,0.8571428571428571,0.62,0.9851732025428067,markdown_chunker_cosine
0.5,1.0,0.15,0.8370693923844681,markdown_chunker_cosine
1.0,1.0,0.82,0.8709233675449694,markdown_chunker_cosine
1.0,1.0,0.46,0.9624800786636927,markdown_chunker_cosine
1.0,0.8888888888888888,0.78,0.9757166995932246,markdown_chunker_cosine
0.4,0.9333333333333333,0.53,0.9925658360788404,markdown_chunker_cosine
1.0,0.8,0.9,0.9797419898561016,markdown_chunker_cosine
0.6,0.9166666666666666,0.59,0.9540618315016595,markdown_chunker_cosine
0.3333333333333333,0.875,0.8,0.0,markdown_chunker_cosine
1.0,1.0,0.79,0.9705069357413705,markdown_chunker_cosine
1.0,1.0,0.73,0.9490539652788167,markdown_chunker_cosine
0.42857142857142855,0.9,0.5,0.9725536779672751,markdown_chunker_cosine
0.6,1.0,0.83,,markdown_chunker_cosine
0.4,1.0,,0.8946441496275512,markdown_chunker_cosine
0.25,0.0,0.0,0.0,markdown_chunker_cosine
0.375,0.7037037037037037,,0.9301309974980488,markdown_chunker_cosine
0.75,0.6666666666666666,0.67,0.9484632431648806,markdown_chunker_cosine
0.4,0.5454545454545454,0.52,0.8981893720994559,markdown_chunker_cosine
0.3333333333333333,0.5333333333333333,0.56,0.9416889819968753,markdown_chunker_cosine
0.6,0.4375,0.62,0.9443416424982626,markdown_chunker_cosine
0.5,0.5,0.81,0.9778534863445896,markdown_chunker_cosine
0.4,1.0,0.34,0.0,markdown_chunker_cosine
0.3333333333333333,0.875,0.35,0.992224072030011,markdown_chunker_multi_query
0.5,1.0,0.18,0.8251208669800573,markdown_chunker_multi_query
1.0,1.0,0.78,0.8661977800647668,markdown_chunker_multi_query
0.5,0.9411764705882353,0.15,0.9608538218704741,markdown_chunker_multi_query
1.0,0.6923076923076923,0.63,0.9773211861825608,markdown_chunker_multi_query
0.6,1.0,0.43,0.9670418216196327,markdown_chunker_multi_query
1.0,0.6,,,markdown_chunker_multi_query
0.4,0.9230769230769231,0.47,0.9360195661384078,markdown_chunker_multi_query
0.6666666666666666,1.0,0.85,0.8930027108309796,markdown_chunker_multi_query
1.0,0.9375,0.67,0.9683575112565918,markdown_chunker_multi_query
1.0,1.0,0.63,0.9495383613481855,markdown_chunker_multi_query
0.5714285714285714,1.0,0.63,0.9851828633227498,markdown_chunker_multi_query
0.8,0.9473684210526315,0.98,0.9782607760636907,markdown_chunker_multi_query
0.4,1.0,,0.0,markdown_chunker_multi_query
0.75,0.6842105263157895,0.84,0.9219379992987576,markdown_chunker_multi_query
0.5,0.6666666666666666,0.75,0.9280880973752813,markdown_chunker_multi_query
1.0,0.6842105263157895,0.81,0.9555377518857074,markdown_chunker_multi_query
1.0,0.9047619047619048,0.79,,markdown_chunker_multi_query
0.6666666666666666,0.7058823529411765,0.68,0.935748876000661,markdown_chunker_multi_query
0.8,0.896551724137931,,0.9553667808910328,markdown_chunker_multi_query
,0.5333333333333333,0.38,0.0,markdown_chunker_multi_query
0.4,1.0,0.38,0.0,markdown_chunker_multi_query
