context_recall,faithfulness,factual_correctness,answer_relevancy,experiment_name
1.0,1.0,0.9,0.956641976814352,naive_chunker_cosine
1.0,1.0,0.48,0.9734288779110672,naive_chunker_cosine
1.0,1.0,0.41,0.9677750866031162,naive_chunker_cosine
1.0,0.9772727272727273,0.45,0.9641781157526669,naive_chunker_cosine
1.0,1.0,0.78,0.951244957026164,naive_chunker_cosine
1.0,1.0,0.97,0.8476290222726658,naive_chunker_cosine
1.0,1.0,,0.9646959493567747,naive_chunker_cosine
1.0,1.0,0.42,0.9734361282909908,naive_chunker_cosine
1.0,1.0,0.83,0.9765473169468916,naive_chunker_cosine
1.0,1.0,0.82,,naive_chunker_cosine
1.0,1.0,0.6,0.9323432517009277,naive_chunker_cosine
1.0,1.0,0.89,0.9026089412477484,naive_chunker_cosine
1.0,1.0,0.33,0.95356645985094,naive_chunker_cosine
1.0,1.0,0.87,0.8997062759408295,naive_chunker_cosine
1.0,0.9722222222222222,0.4,0.9712457162561413,naive_chunker_cosine
1.0,1.0,0.84,0.8916667890183455,naive_chunker_cosine
,0.9791666666666666,0.54,0.9933136041617049,naive_chunker_cosine
1.0,1.0,1.0,0.9133246017324197,naive_chunker_cosine
1.0,0.8333333333333334,0.44,0.9999999999999999,naive_chunker_cosine
0.0,0.0,0.0,0.0,naive_chunker_cosine
1.0,1.0,,0.9921554586334644,naive_chunker_cosine
1.0,0.875,0.8,0.9761770181823805,naive_chunker_cosine
1.0,0.8461538461538461,0.31,0.8991618124893307,naive_chunker_cosine
1.0,1.0,0.82,,naive_chunker_cosine
1.0,0.967741935483871,0.78,0.9832949124405119,naive_chunker_cosine
1.0,1.0,0.78,0.9999984750558556,naive_chunker_cosine
1.0,1.0,0.89,0.9999987591631042,naive_chunker_cosine
1.0,1.0,0.88,0.9588686299883825,naive_chunker_cosine
1.0,0.8333333333333334,0.73,0.8986442514911085,naive_chunker_cosine
1.0,1.0,0.94,1.0,naive_chunker_cosine
1.0,1.0,0.5,0.9999990144824945,naive_chunker_cosine
1.0,0.8888888888888888,0.82,0.9577350848881431,naive_chunker_cosine
1.0,1.0,0.88,0.9868275202126379,naive_chunker_cosine
1.0,1.0,0.8,0.9642428039679611,naive_chunker_cosine
1.0,1.0,0.98,0.9855023487893432,naive_chunker_cosine
1.0,0.9,0.62,,naive_chunker_cosine
1.0,1.0,0.87,0.9999991397173033,naive_chunker_cosine
1.0,1.0,0.89,0.9497822699733307,naive_chunker_cosine
1.0,1.0,0.79,0.9220007568445269,naive_chunker_cosine
1.0,1.0,0.9,0.9050903084521741,naive_chunker_cosine
1.0,1.0,0.88,0.9677169925197008,naive_chunker_cosine
1.0,1.0,0.73,0.9930375731451221,naive_chunker_cosine
1.0,1.0,0.76,0.840319484151944,naive_chunker_cosine
1.0,1.0,0.86,,naive_chunker_cosine
